Substructure,Frequency0
C,3
NC=O,1
CC,2
C=C,2
CNC=O,1
C.C,1
CC(N)=O,1
CCC,1
C=CC,1
C.CC,1
CCNC=O,1
C=CNC=O,1
C.C=C,1
CN(C)C=O,1
CNC(C)=O,1
O=C1CCN1,1
CC(C)C,1
C=CCC,1
CCCC,1
C.CCC,1
CCCNC=O,1
CC=CNC=O,1
CC1CC(=O)N1,1
CN(C=O)CC,1
C=CN(C)C=O,1
C=CNC(C)=O,1
C=C.CC,1
CN1CCC1=O,1
C=CC(C)C,1
CC(C)CC,1
CC(C)CNC=O,1
CCC=CNC=O,1
C.CCCC,1
CCC1CC(=O)N1,1
CN(C=O)CCC,1
C=CCCC,1
O=CN1C=CCC1,1
CC=CNC(C)=O,1
CN1C(=O)CC1C,1
C=CN1CCC1=O,1
CC1C=CN(C=O)C1,1
C=CC(C)CC,1
CC(C)C1CC(=O)N1,1
CCC=CNC(C)=O,1
CN1C(=O)CC1CC,1
O=C1CC2CC=CN12,1
CC1C=CN2C(=O)CC12,1
O=P(O)(O)O,2
Br,1
Cl,2
COP(=O)(O)O,2
CBr,1
CCl,2
COP(=O)(O)OC,2
O=P(O)(O)OCBr,1
CCOP(=O)(O)O,1
CCBr,1
CCCl,1
ClCCl,2
ClCBr,1
COP(=O)(OC)OC,2
COP(=O)(O)OCBr,1
CCOP(=O)(O)OC,1
CC(Br)OP(=O)(O)O,1
O=P(O)(O)OCCCl,1
O=P(O)(O)OCCBr,1
ClCCBr,1
BrCCBr,1
CC(Cl)Cl,1
CC(Cl)Br,1
ClC(Cl)Br,1
COP(=O)(OC)OCBr,1
CCOP(=O)(OC)OC,1
COP(=O)(O)OC(C)Br,1
COP(=O)(O)OCCCl,1
COP(=O)(O)OCCBr,1
O=P(O)(O)OC(Br)CCl,1
O=P(O)(O)OC(Br)CBr,1
O=P(O)(O)OCC(Cl)Cl,1
O=P(O)(O)OCC(Cl)Br,1
ClC(Cl)CBr,1
ClC(Br)CBr,1
CC(Cl)(Cl)Br,1
COP(=O)(OC)OC(C)Br,1
COP(=O)(OC)OCCCl,1
COP(=O)(OC)OCCBr,1
COP(=O)(O)OC(Br)CCl,1
COP(=O)(O)OC(Br)CBr,1
COP(=O)(O)OCC(Cl)Cl,1
COP(=O)(O)OCC(Cl)Br,1
O=P(O)(O)OC(Br)C(Cl)Cl,1
O=P(O)(O)OC(Br)C(Cl)Br,1
O=P(O)(O)OCC(Cl)(Cl)Br,1
ClC(Cl)(Br)CBr,1
COP(=O)(OC)OC(Br)CCl,1
COP(=O)(OC)OC(Br)CBr,1
COP(=O)(OC)OCC(Cl)Cl,1
COP(=O)(OC)OCC(Cl)Br,1
COP(=O)(O)OC(Br)C(Cl)Cl,1
COP(=O)(O)OC(Br)C(Cl)Br,1
COP(=O)(O)OCC(Cl)(Cl)Br,1
O=P(O)(O)OC(Br)C(Cl)(Cl)Br,1
COP(=O)(OC)OC(Br)C(Cl)Cl,1
COP(=O)(OC)OC(Br)C(Cl)Br,1
COP(=O)(OC)OCC(Cl)(Cl)Br,1
COP(=O)(O)OC(Br)C(Cl)(Cl)Br,1
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,1
C=COP(=O)(O)O,1
C=CCl,1
C=COP(=O)(O)OC,1
O=P(O)(O)OC=CCl,1
C=C(Cl)Cl,1
C=COP(=O)(OC)OC,1
COP(=O)(O)OC=CCl,1
O=P(O)(O)OC=C(Cl)Cl,1
COP(=O)(OC)OC=CCl,1
COP(=O)(O)OC=C(Cl)Cl,1
COP(=O)(OC)OC=C(Cl)Cl,1
